"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipHostMalloc",1,3925427542,3925427542,64.2672856378942
"hipDeviceSynchronize",2,1695309595,847654797,27.75568898439439
"hipMallocAsync",2,405030204,202515102,6.631173683358887
"hipFree",3,78038356,26012785,1.2776476605675366
"hipMemcpyAsync",2,2334730,1167365,0.03822431013996303
"hipLaunchKernel",2,1821465,910732,0.02982111125016073
"hipSetDevice",6,5840,973,9.561275660028529e-05
"__hipPushCallConfiguration",2,1479,739,2.421425804996951e-05
"hipGetDeviceCount",1,1310,1310,2.144738204561194e-05
"__hipPopCallConfiguration",2,1059,529,1.7337998157483242e-05
